차량명,연식,주행거리,가격
현대 캐스퍼 가솔린 1.0 터보 디 에센셜,23년 7월식,"18,927km","1,680만원"
기아 K5 3세대 가솔린 터보 1.6 노블레스,20년 6월식,"41,303km","2,180만원"
제네시스 G70 2.0T 슈프림,18년 3월식,"80,070km","1,920만원"
기아 올 뉴 쏘렌토 디젤 2.0 4WD 프레스티지,17년 1월식,"108,093km","1,430만원"
현대 제네시스 쿠페 200 터보 P,11년 12월식,"80,522km",650만원
KG모빌리티(쌍용) 티볼리 LX 2WD 세부등급 없음,16년 6월식,"81,116km",890만원
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),21년 1월식,"50,838km","3,270만원"
기아 더 뉴 카니발 9인승 프레스티지,19년 4월식,"100,573km","1,700만원"
기아 더 뉴 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD X-Line,26년 2월식,36km,"5,550만원"
현대 LF 쏘나타 2.0 스마트 세부등급 없음,16년 8월식,"64,006km","1,090만원"
현대 싼타페 TM 가솔린 2.0T 2WD 프레스티지,19년 12월식(20년형),"56,337km","2,200만원"
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,20년 2월식,"84,912km","2,070만원"
KG모빌리티(쌍용) 티볼리 에어 가솔린 1.6 IX 2WD,18년 2월식,"72,676km","1,050만원"
기아 K5 3세대 가솔린 2.0 시그니처,21년 1월식,"46,169km","2,320만원"
현대 더 뉴 아반떼 (CN7) 가솔린 1.6 모던,23년 9월식(24년형),"33,850km","1,970만원"
기아 K5 3세대 가솔린 터보 1.6 프레스티지,20년 1월식,"59,950km","1,850만원"
현대 쏘나타 뉴 라이즈 2.0 모던,18년 7월식(19년형),"118,716km","1,270만원"
기아 K5 3세대 하이브리드 노블레스,23년 9월식,"69,296km","2,430만원"
현대 더 뉴 그랜저 가솔린 3.3 르블랑,22년 3월식,"63,388km","2,340만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,20년 1월식,"80,199km","1,940만원"
BMW X1 (F48) xDrive 20i xLine,22년 3월식,"48,333km","3,130만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
BMW 2시리즈 액티브 투어러 (F45) 조이,15년 11월식(16년형),"60,717km","1,150만원"
기아 레이 디럭스,14년 3월식,"56,287km",760만원
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe RE,20년 2월식,"114,517km","1,350만원"
기아 더 뉴 기아 레이 시그니처,24년 5월식,"19,735km","1,690만원"
기아 K5 3세대 가솔린 터보 1.6 시그니처,21년 3월식,"57,835km","2,340만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,23년 1월식,"64,564km","5,070만원"
현대 더 뉴 코나 하이브리드 인스퍼레이션,23년 6월식,"13,510km","2,670만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 시그니처,21년 6월식,"96,652km","2,960만원"
현대 쏘나타 뉴 라이즈 2.0 모던,17년 4월식(18년형),"39,435km","1,550만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 프리미엄,15년 11월식(16년형),"96,318km","1,250만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,22년 3월식,"100,666km","2,260만원"
기아 더 뉴 쏘렌토 디젤 2.0 2WD 마스터,18년 10월식(19년형),"65,099km","2,120만원"
현대 코나 1.6 터보 2WD 모던 아트,19년 2월식,"124,156km","1,420만원"
기아 더 뉴 모닝 럭셔리,16년 1월식,"24,626km",760만원
기아 더 뉴 니로 프레스티지,19년 8월식(20년형),"80,919km","1,750만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,20년 9월식,"55,431km","2,350만원"
르노코리아(삼성) QM6 디젤 4WD LE,17년 2월식,"60,248km","1,150만원"
기아 K5 3세대 가솔린 2.0 트렌디,21년 5월식,"88,091km","1,590만원"
쉐보레(GM대우) 트랙스 크로스오버 터보 1.2 액티브,24년 4월식(25년형),"22,416km","2,050만원"
현대 베뉴 1.6 모던,21년 5월식,"101,382km","1,340만원"
기아 K7 프리미어 가솔린 2.5 X 에디션,20년 6월식,"110,781km","2,090만원"
기아 레이 럭셔리,13년 3월식,"72,009km",770만원
쉐보레(GM대우) 올란도 2.0 디젤 LTZ 프리미엄,14년 8월식,"87,889km",590만원
현대 더 뉴 그랜저 가솔린 2.5 르블랑,22년 4월식,"73,567km","2,600만원"
기아 더 뉴 모닝 럭셔리,15년 2월식(16년형),"74,773km",630만원
KG모빌리티(쌍용) 티볼리 LX 2WD 세부등급 없음,17년 4월식,"49,274km",990만원
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 LS 디럭스,19년 11월식,"63,384km","1,060만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 더 뉴 그랜저 가솔린 2.5 익스클루시브,20년 4월식,"147,738km","2,120만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 노블레스,21년 1월식,"79,573km","2,880만원"
KG모빌리티(쌍용) 티볼리 LX 2WD 고급형,15년 11월식(16년형),"38,672km",960만원
르노코리아(삼성) XM3 가솔린 1.6 RE,22년 8월식(23년형),"34,012km","1,650만원"
기아 레이 프레스티지,13년 5월식,"78,607km",800만원
현대 포터2 일렉트릭 초장축 슈퍼캡 프리미엄 스페셜,23년 8월식,"73,301km","1,780만원"
기아 모닝 어반 가솔린 1.0 시그니쳐,22년 5월식,"36,765km","1,360만원"
현대 NF 쏘나타 트랜스폼 N20 트랜스폼 기본형,09년 6월식,"77,021km",500만원
현대 베뉴 1.6 모던,20년 7월식,"17,031km","1,450만원"
르노코리아(삼성) 뉴 QM6 LPG 2.0 2WD (일반인 판매용) 프리미에르,22년 2월식,"51,646km","1,960만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,20년 11월식(21년형),"66,539km","2,590만원"
KG모빌리티(쌍용) 올 뉴 렉스턴 디젤 2.2 4WD 프레스티지,22년 1월식,"54,500km","2,790만원"
제네시스 G70 2.0T AWD 스포츠 패키지,20년 7월식,"98,040km","2,280만원"
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD 프리미어,20년 7월식(21년형),"71,186km","1,390만원"
기아 모하비 더 마스터 디젤 3.0 4WD 마스터즈 5인승,20년 10월식(21년형),"124,456km","2,780만원"
쉐보레(GM대우) 스파크 LS+,15년 7월식,"40,093km",530만원
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 7월식,"48,371km","1,860만원"
르노코리아(삼성) SM3 네오 RE,14년 8월식(15년형),"39,506km",660만원
기아 쏘울 부스터 1.6 T-GDI 노블레스 스폐셜,19년 9월식,"103,387km","1,380만원"
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 헤리티지 스폐셜,20년 2월식,"112,642km","2,050만원"
제네시스 더 뉴 G70 가솔린 터보 2.0 2WD,22년 2월식,"80,461km","3,060만원"
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,20년 8월식(21년형),"90,682km","1,790만원"
현대 싼타페 TM 가솔린 2.0T 2WD 익스클루시브,19년 8월식(20년형),"28,022km","2,180만원"
기아 모닝 어반 가솔린 1.0 베스트 셀렉션,22년 3월식,"19,460km","1,360만원"
KG모빌리티(쌍용) 뉴코란도 C 2.2 RX 4WD 최고급형,16년 2월식,"79,604km",920만원
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,13년 12월식(14년형),"115,647km",650만원
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 프리미엄 초이스,20년 11월식(21년형),"143,944km","1,910만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
현대 아반떼 (CN7) 가솔린 1.6 스마트,20년 10월식(21년형),"57,661km","1,410만원"
기아 모닝 어반 가솔린 1.0 스탠다드,21년 4월식,"21,069km",900만원
르노코리아(삼성) SM3 네오 SE,18년 5월식,"58,215km",620만원
현대 코나 1.6 터보 2WD 프리미엄,18년 9월식,"122,647km","1,250만원"
지프 어벤저 알티튜드,24년 12월식,"27,284km","3,200만원"
기아 올 뉴 카니발 9인승 하이리무진 노블레스,16년 12월식(17년형),"130,763km","1,690만원"
기아 K7 프리미어 가솔린 2.5 노블레스,19년 12월식(20년형),"98,572km","1,720만원"
기아 스포티지 더 볼드 가솔린 2.0 2WD 노블레스,18년 12월식(19년형),"76,079km","1,790만원"
르노코리아(삼성) 아르카나 가솔린 1.6 아이코닉,25년 7월식(26년형),"11,958km","2,150만원"
KG모빌리티(쌍용) 뉴 스타일 코란도 C 2.2 익스트림 2WD,17년 3월식,"98,782km",820만원
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,22년 3월식,"70,156km","2,790만원"
현대 아반떼 하이브리드 (CN7) 모던,21년 10월식(22년형),"150,696km","1,340만원"
기아 K7 프리미어 가솔린 2.5 노블레스,19년 8월식(20년형),"105,085km","1,840만원"
기아 더 뉴 모하비 디젤 3.0 4WD 프레지던트,16년 6월식(17년형),"116,217km","1,620만원"
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 2WD 럭셔리,20년 1월식,"92,754km","1,420만원"
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 헤리티지,17년 6월식(18년형),"71,632km","1,820만원"
기아 스팅어 2.0 터보 2WD 플래티넘,18년 6월식(19년형),"63,403km","1,820만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스,16년 2월식,"119,389km","1,310만원"
제네시스 G70 2.0T 엘리트,19년 4월식,"79,293km","2,050만원"
현대 쏘나타 뉴 라이즈 LPI 스타일,17년 10월식(18년형),"104,811km","1,120만원"
기아 올 뉴 K7 3.3 GDI 리미티드 에디션,17년 1월식,"100,781km","1,220만원"
기아 K8 가솔린 3.5 4WD 플래티넘,24년 1월식,"53,896km","2,980만원"
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,20년 11월식(21년형),"60,294km","2,850만원"
현대 제네시스 DH G330 모던,15년 3월식(16년형),"104,659km","1,120만원"
르노코리아(삼성) 뉴 QM6 가솔린 2.0 2WD LE,21년 1월식,"77,097km","1,480만원"
르노코리아(삼성) 뉴 QM6 가솔린 2.0 2WD 프리미에르,22년 8월식(23년형),"68,374km","1,590만원"
르노코리아(삼성) All New SM7 LE 기본형,14년 4월식,"54,899km",620만원
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
기아 K8 하이브리드 노블레스,23년 1월식,"61,753km","2,830만원"
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 노블레스,22년 3월식,"58,133km","2,480만원"
기아 더 뉴 K5 럭셔리 트랜디,14년 12월식(15년형),"54,061km",870만원
기아 올 뉴 K3 럭셔리,19년 4월식,"133,189km","1,030만원"
현대 쏘나타 뉴 라이즈 2.0 스타일,18년 10월식(19년형),"104,501km","1,190만원"
푸조 508 2세대 2.0 BlueHDi GT Line,21년 10월식,"83,624km","1,720만원"
기아 레이 럭셔리,15년 11월식(16년형),"32,156km",990만원
기아 더 뉴 기아 레이 스탠다드,23년 9월식,"26,683km","1,330만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,16년 7월식,"103,340km","1,550만원"
현대 아반떼 AD 1.6 GDI 스타일,18년 1월식,"68,308km","1,090만원"
기아 레이 럭셔리,12년 6월식(13년형),"63,525km",730만원
기아 더 뉴 모하비 디젤 3.0 4WD 프레지던트,17년 7월식,"109,576km","1,780만원"
쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,16년 11월식(17년형),"95,658km",470만원
현대 코나 1.6 터보 2WD 모던 아트,18년 4월식,"109,345km","1,370만원"
기아 더 뉴 쏘렌토 4세대 디젤 2.2 2WD 그래비티,25년 8월식,"8,981km","4,250만원"
기아 더 뉴 모닝 디럭스,15년 3월식(16년형),"79,273km",570만원
현대 그랜저 HG 하이브리드 프리미엄,16년 4월식,"94,052km","1,050만원"
기아 K8 가솔린 3.5 4WD 플래티넘,21년 7월식(22년형),"61,605km","2,490만원"
BMW 5시리즈 (G30) 520i 럭셔리,18년 8월식,"76,155km","2,360만원"
현대 팰리세이드 가솔린 3.8 4WD 캘리그래피 (7인승),21년 1월식,"84,773km","2,690만원"
제네시스 GV70 가솔린 터보 2.5 스포츠 AWD,21년 7월식,"99,864km","3,550만원"
KG모빌리티(쌍용) 뉴코란도 C 2.2 RX 4WD 최고급형,17년 1월식,"86,963km",850만원
기아 더 뉴 레이 스탠다드,22년 7월식,"71,257km","1,050만원"
현대 싼타페 TM 디젤 2.2 2WD 프레스티지,18년 8월식(19년형),"41,236km","2,150만원"
KG모빌리티(쌍용) 더 뉴 렉스턴 스포츠 디젤 2.2 4WD 익스페디션,22년 10월식(23년형),"39,767km","2,790만원"
현대 베라크루즈 디젤 4WD 300VX 세부등급 없음,12년 6월식,"87,846km","1,150만원"
기아 더 뉴 레이 시그니처,21년 7월식(22년형),"12,304km","1,520만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 LWB,22년 12월식,"39,875km","8,250만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i,25년 8월식,"6,112km","4,100만원"
미니 쿠퍼 클럽맨(2세대 F/L) 클래식 플러스,21년 10월식(22년형),"46,175km",리스료 월 46만원
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,22년 4월식,"39,576km","3,380만원"
BMW X5 (G05) 가솔린 4WD xDrive 40i M 스포츠,22년 11월식,"21,689km","6,800만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3,21년 3월식,"44,384km","1,290만원"
현대 그랜저 IG 2.4 모던,18년 11월식(19년형),"97,727km","1,490만원"
쉐보레(GM대우) 더 뉴 스파크 프리미어,20년 8월식(21년형),"117,082km",720만원
쉐보레(GM대우) 리얼 뉴 콜로라도 가솔린 4WD 3.6 Z71-X,22년 6월식,"94,214km","2,390만원"
르노코리아(삼성) XM3 하이브리드 인스파이어 for all,24년 2월식,"31,385km","2,200만원"
렉서스 NX350h 프리미엄,23년 6월식(24년형),"28,842km","5,440만원"
BMW 5시리즈 (G30) 520i 럭셔리,19년 6월식,"80,291km","2,360만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 1 밀리언,16년 9월식(17년형),"103,219km","1,540만원"
기아 K5 3세대 하이브리드 노블레스,20년 7월식,"59,218km","2,170만원"
기아 올 뉴 K7 2.4 GDI 프레스티지,16년 10월식,"65,490km","1,340만원"
제네시스 G80 3.3 GDI AWD 럭셔리,18년 4월식,"120,365km","1,690만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스,15년 6월식,"112,878km","1,280만원"
쉐보레(GM대우) 리얼 뉴 콜로라도 가솔린 4WD 3.6 Z71-X,22년 3월식,"49,136km","2,630만원"
기아 더 뉴 카니발 가솔린 7인승 리무진 프레지던트,18년 11월식(19년형),"42,423km","2,080만원"
쉐보레(GM대우) 스파크 LT 기본형,15년 2월식,"25,350km",590만원
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,20년 7월식,"109,854km","1,290만원"
벤츠 E-클래스 W212 E220 블루텍 아방가르드,15년 11월식(16년형),"76,083km","1,490만원"
현대 더 뉴 그랜저 가솔린 3.3 익스클루시브,20년 1월식,"102,394km","2,030만원"
기아 올 뉴 모닝 (JA) 럭셔리,17년 7월식,"66,994km",750만원
기아 더 뉴 카니발 9인승 노블레스 스페셜,19년 7월식,"51,458km","2,050만원"
BMW 3시리즈 (G20) 가솔린 2WD 320i 럭셔리,22년 6월식,"18,988km","3,650만원"
기아 더 K9 3.3 T-GDI AWD 그랜드 마스터즈,20년 2월식,"79,964km","3,340만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,22년 3월식,"78,254km","2,470만원"
르노코리아(삼성) 더 뉴 SM6 가솔린 터보 1.8 프리미에르,21년 11월식(22년형),"155,232km","1,390만원"
벤츠 E-클래스 W213 E300 익스클루시브,17년 1월식,"104,119km","2,290만원"
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 시그니처 그래비티,21년 11월식(22년형),"27,322km","2,680만원"
기아 더 뉴 카니발 가솔린 9인승 노블레스 스페셜,18년 8월식(19년형),"98,640km","1,730만원"
벤츠 S-클래스 W223 디젤 4WD S350 d 4MATIC,25년 5월식,"10,494km","11,100만원"
벤츠 CLA-클래스 C118 가솔린 4WD CLA250 4MATIC,23년 5월식,"18,597km","4,250만원"
BMW 4시리즈 (G22) 가솔린 2WD 420i 쿠페 M 스포츠,25년 9월식,"4,053km","5,200만원"
미니 쿠퍼 컨버터블(4세대) 가솔린 2.0 C 클래식,25년 5월식,"5,864km",리스료 월 58만원
